word,cooc_count,word_count,pmi
志,50,50,0.16589600111498495
王者,47,47,0.16409378077178083
礼,46,46,0.1634413590139133
封,41,41,0.15970756408722545
创制,41,41,0.15970756408722545
注,39,39,0.1579493366811503
后世,39,39,0.1579493366811503
改正,39,39,0.1579493366811503
水,38,38,0.15700171055975976
年,38,38,0.15700171055975976
观,38,38,0.15700171055975976
君,75,76,0.15648541464697752
悔,35,35,0.15383845384072106
万物,35,35,0.15383845384072106
废,34,34,0.1526617611667146
大人,34,34,0.1526617611667146
征,34,34,0.1526617611667146
晋,31,31,0.14868332288000244
变,62,63,0.14865456073044078
纪,30,30,0.14718321517102015
率,29,29,0.14558137916022382
终,58,59,0.1455506334775501
作,116,119,0.14553526039049852
胜,28,28,0.14386710266632072
理,28,28,0.14386710266632072
通,28,28,0.14386710266632072
天命,55,56,0.14293161037254637
相,27,27,0.14202811460726092
秋,27,27,0.14202811460726092
谓之,54,55,0.14199509154480694
四时,54,55,0.14199509154480694
正,106,109,0.1410070522082138
王,79,81,0.14068080450428777
重,26,26,0.14005029068328462
家,26,26,0.14005029068328462
天,77,79,0.1393110930682235
具,25,25,0.13791728975487547
盛,25,25,0.13791728975487547
共,25,25,0.13791728975487547
心,49,50,0.13675038331753636
中宗,24,24,0.13561010109533445
贞,24,24,0.13561010109533445
汤,48,49,0.13557295030951896
三,48,49,0.13557295030951896
迁,47,48,0.13434643737772875
伐,23,23,0.1331064759426634
官,23,23,0.1331064759426634
存,23,23,0.1331064759426634
喜,23,23,0.1331064759426634
武后,23,23,0.1331064759426634
居,69,71,0.13305478774815405
日,68,70,0.13217143422496683
夏,68,70,0.13217143422496683
民,67,69,0.1312622774043069
似,22,22,0.1303802073147361
定,43,44,0.12888261764347939
卒,43,44,0.12888261764347939
四方,21,21,0.12740020862488688
未占,21,21,0.12740020862488688
嵗,21,21,0.12740020862488688
不为,21,21,0.12740020862488688
果,21,21,0.12740020862488688
应天顺人,21,21,0.12740020862488688
高祖,21,21,0.12740020862488688
独,42,43,0.1273577508182389
遂,104,108,0.12670202806170772
防,62,64,0.12628674770198645
法,41,42,0.1257602321638877
反,41,42,0.1257602321638877
义,102,106,0.12540532648304856
是故,20,20,0.12412932230396827
兹,20,20,0.12412932230396827
近,20,20,0.12412932230396827
正朔,20,20,0.12412932230396827
厥,20,20,0.12412932230396827
恶,20,20,0.12412932230396827
释,20,20,0.12412932230396827
征伐,20,20,0.12412932230396827
文王,40,41,0.12408474170538653
汤武,139,145,0.1235588309509223
礼乐,19,19,0.12052276136604166
絶,19,19,0.12052276136604166
损益,19,19,0.12052276136604166
徒,19,19,0.12052276136604166
百王,19,19,0.12052276136604166
物,19,19,0.12052276136604166
须,19,19,0.12052276136604166
应天,19,19,0.12052276136604166
春,38,39,0.12047583453464569
则天,38,39,0.12047583453464569
授,38,39,0.12047583453464569
承,57,59,0.12046019191830801
文,57,59,0.12046019191830801
应,56,58,0.11917320472563751
受,56,58,0.11917320472563751
吉,37,38,0.11852883105793423
初,111,116,0.11849670012306822
周,110,115,0.1178244178047772
三统,18,18,0.11652604480670184
干,18,18,0.11652604480670184
服,18,18,0.11652604480670184
表,18,18,0.11652604480670184
夏时,18,18,0.11652604480670184
无咎,18,18,0.11652604480670184
爰,18,18,0.11652604480670184
化,18,18,0.11652604480670184
豹变,18,18,0.11652604480670184
乐,18,18,0.11652604480670184
受禅,18,18,0.11652604480670184
甚,36,37,0.1164765110633828
公,54,56,0.11645999943766952
信,54,56,0.11645999943766952
兴,54,56,0.11645999943766952
受命,54,56,0.11645999943766952
命,89,93,0.11559410392302512
诗,53,55,0.11502866702818434
五,35,36,0.11431008965408365
君臣,35,36,0.11431008965408365
奏,35,36,0.11431008965408365
置,35,36,0.11431008965408365
道,87,91,0.11383152504371218
惟,104,109,0.1135266393139744
越,17,17,0.11207222400340683
足以,17,17,0.11207222400340683
宗庙,17,17,0.11207222400340683
禅代,17,17,0.11207222400340683
亲,17,17,0.11207222400340683
同居,17,17,0.11207222400340683
太宗,17,17,0.11207222400340683
造,17,17,0.11207222400340683
四年,17,17,0.11207222400340683
放,17,17,0.11207222400340683
受终,17,17,0.11207222400340683
寻,17,17,0.11207222400340683
解,17,17,0.11207222400340683
更,34,35,0.11201977666936874
春秋,51,53,0.11200229380097954
象,68,71,0.1119935522873366
少,33,34,0.10959462861599506
尧舜,33,34,0.10959462861599506
中,98,103,0.10871781048607577
辨,16,16,0.10707809872773513
之义,16,16,0.10707809872773513
灭,16,16,0.10707809872773513
终始,16,16,0.10707809872773513
前代,16,16,0.10707809872773513
天门,16,16,0.10707809872773513
文武,16,16,0.10707809872773513
歴,16,16,0.10707809872773513
贬,16,16,0.10707809872773513
齐,16,16,0.10707809872773513
亥,16,16,0.10707809872773513
泽中,16,16,0.10707809872773513
敬授,16,16,0.10707809872773513
合,32,33,0.10702237362523943
示,32,33,0.10702237362523943
学,32,33,0.10702237362523943
岂,64,67,0.10699451026681264
子,64,67,0.10699451026681264
闻,63,66,0.10564852683902984
天子,47,49,0.10520009171821244
元年,47,49,0.10520009171821244
予,31,32,0.10428920352154904
制,31,32,0.10428920352154904
三代,31,32,0.10428920352154904
知,93,98,0.10425085386137353
引,46,48,0.10332036657634248
书,91,96,0.10233088227489694
信志,15,15,0.1014389654376345
无所,15,15,0.1014389654376345
万国,15,15,0.1014389654376345
昭,15,15,0.1014389654376345
武帝,15,15,0.1014389654376345
虎,15,15,0.1014389654376345
光,15,15,0.1014389654376345
五月,15,15,0.1014389654376345
申,15,15,0.1014389654376345
坐,15,15,0.1014389654376345
建子,15,15,0.1014389654376345
愚,15,15,0.1014389654376345
语,30,31,0.10137952555789516
告,30,31,0.10137952555789516
虎变,30,31,0.10137952555789516
武,30,31,0.10137952555789516
举,45,47,0.1013597117204236
然,120,127,0.10133494404090705
立,73,77,0.09887625628908499
太祖,29,30,0.09827566438186701
政,29,30,0.09827566438186701
师,29,30,0.09827566438186701
名,58,61,0.09824491869919333
昔,43,45,0.09717375791614127
天地,86,91,0.09715302223992027
犹,86,91,0.09715302223992027
称,71,75,0.09627421045742941
差,14,14,0.09502118748968151
黜,14,14,0.09502118748968151
大明,14,14,0.09502118748968151
变改,14,14,0.09502118748968151
弗,14,14,0.09502118748968151
革卦,14,14,0.09502118748968151
贡,14,14,0.09502118748968151
所为,14,14,0.09502118748968151
寅,14,14,0.09502118748968151
贤,14,14,0.09502118748968151
三王,14,14,0.09502118748968151
疏,14,14,0.09502118748968151
革面,14,14,0.09502118748968151
仲尼,14,14,0.09502118748968151
交,14,14,0.09502118748968151
列,14,14,0.09502118748968151
尊,14,14,0.09502118748968151
变易,14,14,0.09502118748968151
疑,28,29,0.09495750218537445
冬,28,29,0.09495750218537445
身,28,29,0.09495750218537445
代,28,29,0.09495750218537445
四,28,29,0.09495750218537445
金,28,29,0.09495750218537445
説,28,29,0.09495750218537445
德,42,44,0.09493627312586149
诸侯,42,44,0.09493627312586149
主,42,44,0.09493627312586149
时,168,179,0.0949044289508627
武王,41,43,0.09259336822868842
始,95,101,0.09187852550634874
进,27,28,0.09140204153729276
孚,27,28,0.09140204153729276
耶,27,28,0.09140204153729276
陈,27,28,0.09140204153729276
兼,27,28,0.09140204153729276
士,27,28,0.09140204153729276
备,27,28,0.09140204153729276
改正朔,27,28,0.09140204153729276
易,94,100,0.09082582776851446
数,40,42,0.09013740978204891
传,66,70,0.08910350701832796
天下,183,196,0.08808725126015268
周书,13,13,0.0876514546136913
察,13,13,0.0876514546136913
音,13,13,0.0876514546136913
改易,13,13,0.0876514546136913
父母,13,13,0.0876514546136913
劝,13,13,0.0876514546136913
宣,13,13,0.0876514546136913
私,13,13,0.0876514546136913
自然,13,13,0.0876514546136913
建丑,13,13,0.0876514546136913
八月,13,13,0.0876514546136913
孰,13,13,0.0876514546136913
酉,13,13,0.0876514546136913
全,13,13,0.0876514546136913
巡狩,13,13,0.0876514546136913
辰,13,13,0.0876514546136913
献,13,13,0.0876514546136913
遽,13,13,0.0876514546136913
案,13,13,0.0876514546136913
锡,13,13,0.0876514546136913
游,13,13,0.0876514546136913
民时,13,13,0.0876514546136913
久,13,13,0.0876514546136913
克,13,13,0.0876514546136913
直,13,13,0.0876514546136913
获,13,13,0.0876514546136913
夏数,13,13,0.0876514546136913
衰,13,13,0.0876514546136913
平,26,27,0.08758287078914898
周公,26,27,0.08758287078914898
之事,26,27,0.08758287078914898
深,26,27,0.08758287078914898
字,52,55,0.0875485776541946
火,52,55,0.0875485776541946
君子,78,83,0.08753714642806222
夫,104,111,0.08753143078102986
事,155,166,0.08686110557877125
功,51,54,0.08553008243978857
二年,38,40,0.08485192480392442
余,38,40,0.08485192480392442
诚,25,26,0.08346950573249892
水火,25,26,0.08346950573249892
未有,25,26,0.08346950573249892
见,100,107,0.08341600818763747
宜,62,66,0.08256537027266851
商,37,39,0.08200295503282007
之际,37,39,0.08200295503282007
九五,37,39,0.08200295503282007
号,37,39,0.08200295503282007
复,74,79,0.0819788568987587
皆,195,210,0.08066975779607992
隂,12,12,0.07910087143071577
忠,12,12,0.07910087143071577
阳刚,12,12,0.07910087143071577
效,12,12,0.07910087143071577
易服,12,12,0.07910087143071577
息,12,12,0.07910087143071577
辄,12,12,0.07910087143071577
暨,12,12,0.07910087143071577
图,12,12,0.07910087143071577
上天,12,12,0.07910087143071577
夏后氏,12,12,0.07910087143071577
光武,12,12,0.07910087143071577
五际,12,12,0.07910087143071577
太平,12,12,0.07910087143071577
两,12,12,0.07910087143071577
午,12,12,0.07910087143071577
责,12,12,0.07910087143071577
之中,12,12,0.07910087143071577
周正,12,12,0.07910087143071577
念,12,12,0.07910087143071577
午亥,12,12,0.07910087143071577
禹,24,25,0.07902657272896696
加,24,25,0.07902657272896696
九四,24,25,0.07902657272896696
孟子,24,25,0.07902657272896696
武氏,24,25,0.07902657272896696
动,24,25,0.07902657272896696
竟,24,25,0.07902657272896696
改命,24,25,0.07902657272896696
小人,24,25,0.07902657272896696
殷,36,38,0.07900180564472015
改,60,64,0.0789819916711868
意,59,63,0.077102762201425
曰,399,432,0.07645567854938135
尧,35,37,0.07583594183944785
尝,58,62,0.07516130558615201
先,58,62,0.07516130558615201
推,23,24,0.07421278688909486
为之,23,24,0.07421278688909486
特,23,24,0.07421278688909486
之时,23,24,0.07421278688909486
势,23,24,0.07421278688909486
行,91,98,0.07288710438241494
元,34,36,0.07249141248273144
秦,34,36,0.07249141248273144
舜,34,36,0.07249141248273144
言,191,207,0.07142793416880255
成,78,84,0.07046363306912058
兄,11,11,0.0690607152105674
成汤,11,11,0.0690607152105674
冬至,11,11,0.0690607152105674
佐,11,11,0.0690607152105674
章,11,11,0.0690607152105674
移,11,11,0.0690607152105674
九,11,11,0.0690607152105674
本义,11,11,0.0690607152105674
古今,11,11,0.0690607152105674
孔安国,11,11,0.0690607152105674
正义,11,11,0.0690607152105674
大雅,11,11,0.0690607152105674
中兴,11,11,0.0690607152105674
二十,11,11,0.0690607152105674
祀,11,11,0.0690607152105674
迹,11,11,0.0690607152105674
神农,11,11,0.0690607152105674
王业,11,11,0.0690607152105674
豹,11,11,0.0690607152105674
题,11,11,0.0690607152105674
其文,11,11,0.0690607152105674
白,11,11,0.0690607152105674
流,11,11,0.0690607152105674
洛阳,11,11,0.0690607152105674
气,11,11,0.0690607152105674
假,11,11,0.0690607152105674
井,11,11,0.0690607152105674
刚,11,11,0.0690607152105674
王室,11,11,0.0690607152105674
商周,11,11,0.0690607152105674
羲和,11,11,0.0690607152105674
兑,11,11,0.0690607152105674
高,11,11,0.0690607152105674
甘,11,11,0.0690607152105674
金石,11,11,0.0690607152105674
左传,11,11,0.0690607152105674
山,11,11,0.0690607152105674
高宗,11,11,0.0690607152105674
美,22,23,0.06897966265059266
益,22,23,0.06897966265059266
忽,22,23,0.06897966265059266
隂阳,22,23,0.06897966265059266
出入,22,23,0.06897966265059266
遣,22,23,0.06897966265059266
卦,22,23,0.06897966265059266
正月,33,35,0.06895264411864903
葢,33,35,0.06895264411864903
斯,33,35,0.06895264411864903
令,55,59,0.06893102892876952
欲,99,107,0.06891661862226466
帝,54,58,0.0667069642405697
必,118,128,0.06586039424782258
明,75,81,0.06571995072379515
非,182,198,0.06560930563027441
处,32,34,0.0652021979306122
间,32,34,0.0652021979306122
俱,32,34,0.0652021979306122
三年,32,34,0.0652021979306122
○,32,34,0.0652021979306122
悉,21,22,0.06326987120517101
尚书,21,22,0.06326987120517101
十一月,21,22,0.06326987120517101
视,21,22,0.06326987120517101
教,21,22,0.06326987120517101
明时,31,33,0.0612204816296629
降,31,33,0.0612204816296629
臣,62,67,0.06119171948010139
治,41,44,0.06017189053631095
生,41,44,0.06017189053631095
人心,41,44,0.06017189053631095
计,10,10,0.05710428351006368
不合,10,10,0.05710428351006368
基,10,10,0.05710428351006368
汉祖,10,10,0.05710428351006368
之内,10,10,0.05710428351006368
务,10,10,0.05710428351006368
决,10,10,0.05710428351006368
符,10,10,0.05710428351006368
楚,10,10,0.05710428351006368
得失,10,10,0.05710428351006368
一代,10,10,0.05710428351006368
五星,10,10,0.05710428351006368
周官,10,10,0.05710428351006368
蹈,10,10,0.05710428351006368
周月,10,10,0.05710428351006368
颇,10,10,0.05710428351006368
侍中,10,10,0.05710428351006368
变置,10,10,0.05710428351006368
刑,10,10,0.05710428351006368
委,10,10,0.05710428351006368
炳,10,10,0.05710428351006368
仪,10,10,0.05710428351006368
古者,10,10,0.05710428351006368
人君,10,10,0.05710428351006368
强,10,10,0.05710428351006368
赋,10,10,0.05710428351006368
革言,10,10,0.05710428351006368
愈,10,10,0.05710428351006368
擢,10,10,0.05710428351006368
监察御史,10,10,0.05710428351006368
衣冠,10,10,0.05710428351006368
节,10,10,0.05710428351006368
专,10,10,0.05710428351006368
上书,10,10,0.05710428351006368
迁易,10,10,0.05710428351006368
邪,10,10,0.05710428351006368
虞,10,10,0.05710428351006368
交际,10,10,0.05710428351006368
神明,10,10,0.05710428351006368
四始,10,10,0.05710428351006368
天保,10,10,0.05710428351006368
金火,10,10,0.05710428351006368
避,10,10,0.05710428351006368
宗,10,10,0.05710428351006368
六,10,10,0.05710428351006368
见于,10,10,0.05710428351006368
相革,10,10,0.05710428351006368
显,10,10,0.05710428351006368
病,10,10,0.05710428351006368
