word,cooc_count,word_count,pmi
志,50,50,0.16589600111498495
王者,47,47,0.16409378077178083
礼,46,46,0.1634413590139133
封,41,41,0.15970756408722545
创制,41,41,0.15970756408722545
注,39,39,0.1579493366811503
后世,39,39,0.1579493366811503
改正,39,39,0.1579493366811503
水,38,38,0.15700171055975976
年,38,38,0.15700171055975976
观,38,38,0.15700171055975976
君,75,76,0.15648541464697752
悔,35,35,0.15383845384072106
万物,35,35,0.15383845384072106
废,34,34,0.1526617611667146
大人,34,34,0.1526617611667146
征,34,34,0.1526617611667146
晋,31,31,0.14868332288000244
变,62,63,0.14865456073044078
纪,30,30,0.14718321517102015
率,29,29,0.14558137916022382
终,58,59,0.1455506334775501
作,116,119,0.14553526039049852
胜,28,28,0.14386710266632072
理,28,28,0.14386710266632072
